Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Mois,IATA_Manuel
"Serbian Sensual Festival | Faith ReConnect 2026","17 Apr","20 Apr","Novi Sad, Serbia","https://placetodance.com/festivals/calendar/68e80f546eb94a22fac268d1","https://www.facebook.com/events/525050733934687/","April",""
"Karipande THE 1TH ITALIAN FESTIVAL OF ANGOLAN CULTURE","17 Apr","19 Apr","Terni, Italy","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b611","https://www.facebook.com/events/686723767627929/","April",""
"Costa Del Salsa 2026","23 Apr","30 Apr","Torremolinos, Spain","https://placetodance.com/festivals/calendar/688629e24a97ca6427ee4b4c","https://www.facebook.com/events/1753120205412766/","April",""
"FEVER BACHATA WORLD CONGRESS 2026 - Game of Hogwarts","23 Apr","26 Apr","Gandia, Spain","https://placetodance.com/festivals/calendar/68779f2db9da100c7000babb","https://www.facebook.com/events/647834974729291/","April",""
"ATLANTIK CORAZON FESTIVAL 2026 OCEAN KIZOMBA BEACH SALSA / BACHATA","23 Apr","27 Apr","Saint-Nazaire, France","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8e1","https://www.facebook.com/events/1846700016186434/","April",""
"ANGOLAN DANCES FESTIVAL 4th Edition 2026","24 Apr","27 Apr","Lisbonne, Portugal","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b608","https://www.facebook.com/events/703243178899760/","April",""
"Elemental Unity Kiz – All in one Hotel Meersburg","24 Apr","27 Apr","Meersburg, Germany","https://placetodance.com/festivals/calendar/68e81f0f6eb94a22fac268fa","https://www.facebook.com/events/1805878230019420/","April",""
"Horuce Tatry, 26. Edicia","30 Apr","3 May","Jasna, Slovakia","https://placetodance.com/festivals/calendar/6925cb9606f86dbdbfab241e","https://www.facebook.com/events/1379592986528736/","April",""
"Munich goes to 10th World Stars Salsa Festival in Varna/Bulgaria","30 Apr","4 May","Albena, Bulgaria","https://placetodance.com/festivals/calendar/689a474f47951c2e5078ec65","https://www.facebook.com/events/740739981668499/","April",""
"Fresh Kiz Festival - 3rd Edition","1 May","4 May","Aulnay-Sous-Bois, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b5f6","https://www.facebook.com/events/4063127104005472/","May",""
"TréLazé Salsa Festival 2026","1 May","3 May","Trélazé, France","https://placetodance.com/festivals/calendar/688629e24a97ca6427ee4b4f","https://www.facebook.com/events/23930629863263291/","May",""
"Bachata Spain World Congress 2026","5 May","11 May","Punta Umbría, Spain","https://placetodance.com/festivals/calendar/68861ce24a97ca6427ee4aee","https://www.facebook.com/events/2033820400719162","May",""
"Albania Afrolatin Festival","6 May","12 May","Durrës, Albania","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b5f7","https://www.facebook.com/events/3050258841818021/","May",""
"Sexy'Kiz Spring Weekender 2026","9 May","11 May","Pessac, France","https://placetodance.com/festivals/calendar/68e81f0f6eb94a22fac26906","https://www.facebook.com/events/585093857368029/","May",""
"WANTED FESTIVAL NUMÉRO 5 KIZOMBA & BACHATA TROYES","14 May","17 May","Troyes, France","https://placetodance.com/festivals/calendar/6884c1558dbff31b59015581","https://www.facebook.com/events/1075653138003169","May",""
"Passion Kizz Beach Edition","14 May","19 May","Matalascañas, Spain","https://placetodance.com/festivals/calendar/68fd1218e9c5d223fe32c8b3","https://www.facebook.com/events/819256820605224/","May",""
"Une Douce Tarraxinha FESTIVAL 2026","15 May","18 May","Mauguio, France","https://placetodance.com/festivals/calendar/68e7bb206eb94a22fac2682b","https://www.facebook.com/events/1413305706357662/","May",""
"Dança Bonita SBK Festival & Beach Party - 4th Edition","15 May","18 May",", Portugal","https://placetodance.com/festivals/calendar/689a283347951c2e5078ebef","https://www.facebook.com/events/657054327152874/","May",""
"Kizz & Peace Ii","15 May","17 May","Schlierbach, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b5fa","https://www.facebook.com/events/565153059965443/","May",""
"OKIZ FESTIVAL 2026 - ALL IN ONE - 9th Edition","20 May","25 May","Biograd, Croatia","https://placetodance.com/festivals/calendar/6884c1558dbff31b590155a5","https://www.facebook.com/events/688099924154517","May",""
"OPEN SUMMER FESTIVAL 2026 ☀️ Holiday Edition - Algarve, Portugal","21 May","25 May","Albufeira, Portugal","https://placetodance.com/festivals/calendar/68e7bb206eb94a22fac26822","https://www.facebook.com/events/1144397577449838/","May",""
"15th Anniversary Salsa Spring Festival 2026 Greece","21 May","24 May","Greece, Greece","https://placetodance.com/festivals/calendar/68861ce24a97ca6427ee4ad3","https://www.facebook.com/events/1281325703700597","May",""
"Mambo Vikings go to Salsa Spring Festival 2026","21 May","24 May","Loutraki, Greece","https://placetodance.com/festivals/calendar/68fd1218e9c5d223fe32c8b0","https://www.facebook.com/events/797561536474462/","May",""
"VALENCIA BAILA Peñíscola Edition 2026","21 May","24 May","Peñíscola, Spain","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bab3","https://www.facebook.com/events/1215931972878176/","May",""
"Kizomba Treat Festival - 5th Edition The Majestic 5","22 May","25 May","Région Flamande, Belgium","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b614","https://www.facebook.com/events/994499346221944/","May",""
"KizombaInvasion Stuttgart 9 th Edition","22 May","25 May","Ludwigsburg, Germany","https://placetodance.com/festivals/calendar/68e7bb206eb94a22fac26831","https://www.facebook.com/events/1769097353696161/","May",""
"Cracow Bachata Experience 5th Anniversary Edition","23 May","25 May","Cracow, Poland","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bab6","https://www.facebook.com/events/1043865113855411/","May",""
"Kianda Festival 22.5.-24.5.2026","23 May","24 May","Biel/Bienne, Switzerland","https://placetodance.com/festivals/calendar/68e7bb216eb94a22fac26837","https://www.facebook.com/events/2416668415381663/","May",""
"Festn'Kiz Party Spring Edition","23 May","24 May","Saligny, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b694","https://www.facebook.com/events/552917020785032/","May",""
"Kizmeup Paris Festival 2026","28 May","1 Jun","ROISSY EN FRANCE, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b613","https://www.facebook.com/events/696413653359339/","May",""
"Selp 2026","28 May","1 Jun","Le Bois-Plage-En-Ré, France","https://placetodance.com/festivals/calendar/688629e24a97ca6427ee4b40","https://www.facebook.com/events/1376112740281514/","May",""
