airport;city;country;iata;ICAO ;lat;long;altitude;country_code
Tirana International Airport Mother Teresa;tirana;Albania;TIA;;41.4146995544;19.7206001282;126;AL
Gyumri Shirak Airport;gyumri;Armenia;LWN;;40.7504005432;43.859298706100006;5000;AM
Zvartnots International Airport;yerevan;Armenia;EVN;;40.1473007202;44.3959007263;2838;AM
Graz Airport;graz;Austria;GRZ;;46.9911003112793;15.439599990844727;1115;AT
Innsbruck Airport;innsbruck;Austria;INN;;47.260201;11.344;1907;AT
Klagenfurt Airport;klagenfurt;Austria;KLU;;46.642502;14.3377;1472;AT
Linz Hörsching Airport;linz;Austria;LNZ;;48.2332;14.1875;980;AT
Salzburg Airport;salzburg;Austria;SZG;;47.793300628699996;13.0043001175;1411;AT
Vienna International Airport;vienna;Austria;VIE;;48.110298156738;16.569700241089;600;AT
Zabrat Airport;baku;Azerbaijan;BAK;;40.4955422161;49.9768066406;36;AZ
Ganja Airport;ganja;Azerbaijan;GNJ;;40.737701416015625;46.31760025024414;1083;AZ
Lankaran International Airport;lankaran;Azerbaijan;LLK;;38.746398925799994;48.8180007935;30;AZ
Nakhchivan Airport;nakhchivan;Azerbaijan;NAJ;;39.18880081176758;45.45840072631836;2863;AZ
Gabala International Airport;qabala;Azerbaijan;GBB;;40.826667;47.7125;935;AZ
Antwerp International Airport (Deurne);antwerp;Belgium;ANR;;51.1893997192;4.46027994156;39;BE
Brussels Airport;brussels;Belgium;BRU;;50.901401519800004;4.48443984985;184;BE
Brussels South Charleroi Airport;charleroi;Belgium;CRL;;50.459202;4.45382;614;BE
Liège Airport;liege;Belgium;LGG;;50.63740158081055;5.443220138549805;659;BE
Ostend-Bruges International Airport;ostend;Belgium;OST;;51.198898315399994;2.8622200489;13;BE
Banja Luka International Airport;banja luka;Bosnia and Herzegovina;BNX;;44.94139862060547;17.297500610351562;400;BA
Mostar International Airport;mostar;Bosnia and Herzegovina;OMO;;43.282901763916016;17.84589958190918;156;BA
Sarajevo International Airport;sarajevo;Bosnia and Herzegovina;SJJ;;43.82460021972656;18.331499099731445;1708;BA
Burgas Airport;bourgas;Bulgaria;BOJ;;42.56959915161133;27.515199661254883;135;BG
Plovdiv International Airport;plovdiv;Bulgaria;PDV;;42.067799;24.8508;597;BG
Sofia Airport;sofia;Bulgaria;SOF;;42.696693420410156;23.411436080932617;1742;BG
Varna Airport;varna;Bulgaria;VAR;;43.232101;27.8251;230;BG
Deauville-Saint-Gatien Airport;deauville;Calvados;DOL;;49.3652992249;0.154305994511;479;FR
Land's End Airport;land's end;Cornwall;LEQ;;50.102798;'-5.67056;398;
Méribel Altiport;ajaccio;Corsica;AJA;;45.407003;6.577942;5636;FR
Bastia-Poretta Airport;bastia;Corsica;BIA;;42.55270004272461;9.48373031616211;26;FR
Calvi-Sainte-Catherine Airport;calvi;Corsica;CLY;;42.5244444;8.7930556;209;FR
Figari Sud-Corse Airport;figari;Corsica;FSC;;41.5005989074707;9.097780227661133;87;FR
Bol Airport;brac;Croatia;BWK;;43.285701751708984;16.67970085144043;1776;HR
Dubrovnik Airport;dubrovnik;Croatia;DBV;;42.5614013671875;18.268199920654297;527;HR
Osijek Airport;osijek;Croatia;OSI;;45.46269989013672;18.810199737548828;290;HR
Pula Airport;pula;Croatia;PUY;;44.89350128173828;13.922200202941895;274;HR
Rijeka Airport;rijeka;Croatia;RJK;;45.21689987182617;14.570300102233887;278;HR
Split Airport;split;Croatia;SPU;;43.53889846801758;16.29800033569336;79;HR
Zadar Airport;zadar;Croatia;ZAD;;44.108299;15.3467;289;HR
Zagreb Airport;zagreb;Croatia;ZAG;;45.7429008484;16.0687999725;353;HR
Larnaca International Airport;larnaca;Cyprus;LCA;;34.875099182128906;33.624900817871094;8;CY
Ercan International Airport;nicosia;Cyprus;ECN;;35.154701232910156;33.49610137939453;404;CY
Paphos International Airport;paphos;Cyprus;PFO;;34.71799850463867;32.48569869995117;41;CY
Brno Airport;brno;Czech Republic;BRQ;;49.2;16.7;204;CZ
Ceske Budejovice Airport;ceske budejovice;Czech Republic;CKK;;48.974;14.478;373;CZ
Hradec Kralove Airport;hradec kralove;Czech Republic;HRK;;50.207;15.832;227;CZ
Karlovy Vary Airport;karlovy vary;Czech Republic;KLV;;50.208;12.604;394;CZ
Ostrava Airport;ostrava;Czech Republic;OSR;;49.72;18.292;234;CZ
Pardubice Airport;pardubice;Czech Republic;PED;;50.035;15.781;221;CZ
Vaclav Havel Airport Prague;prague;Czech Republic;PRG;;50.1008;14.26;383;CZ
Václav Havel Airport Prague;prague;Czech Republic;PRG;LKPR;50.1008;14.26;;CZ
Aalborg Airport;aalborg;Denmark;AAL;;57.0927589138;9.84924316406;10;DK
Aarhus Airport;aarhus;Denmark;AAR;;56.2999992371;10.619000434899998;82;DK
Billund Airport;billund;Denmark;BLL;;55.7402992249;9.15178012848;247;DK
Copenhagen Roskilde Airport;copenhagen;Denmark;CPH;;55.585601806640625;12.131400108337402;146;DK
Esbjerg Airport;esbjerg;Denmark;EBJ;;55.525902;8.5534;97;DK
Karup Airport;karup;Denmark;KRP;;56.29750061035156;9.124629974365234;170;DK
Odense Airport;odense;Denmark;ODE;;55.47669982910156;10.330900192260742;56;DK
Sønderborg Airport;soenderborg;Denmark;SGD;;54.96440124511719;9.791729927062988;24;DK
Kärdla Airport;kardla;Estonia;KDL;;58.99079895019531;22.830699920654297;18;EE
Kuressaare Airport;kuressaare;Estonia;URE;;58.22990036010742;22.50950050354004;14;EE
Lennart Meri Tallinn Airport;tallinn;Estonia;TLL;;59.41329956049999;24.832799911499997;131;EE
Tartu Airport;tartu;Estonia;TAY;;58.3074989319;26.690399169900004;219;EE
Helsinki Vantaa Airport;helsinki;Finland;HEL;;60.317199707031;24.963300704956;179;FI
Ivalo Airport;ivalo;Finland;IVL;;68.607299804688;27.405300140381;481;FI
Joensuu Airport;joensuu;Finland;JOE;;62.662899017334;29.607500076294;398;FI
Jyvaskyla Airport;jyvaskyla;Finland;JYV;;62.399501800537;25.678300857544;459;FI
Kajaani Airport;kajaani;Finland;KAJ;;64.285499572754;27.692399978638;483;FI
Kemi-Tornio Airport;kemi;Finland;KEM;;65.778701782227;24.582099914551;61;FI
Kittilä Airport;kittila;Finland;KTT;;67.700996398926;24.846799850464;644;FI
Kokkola-Pietarsaari Airport;kruunupyy;Finland;KOK;;63.721199035645;23.143100738525;84;FI
Kuopio Airport;kuopio;Finland;KUO;;63.007099151611;27.797800064087;323;FI
Kuusamo Airport;kuusamo;Finland;KAO;;65.987602233887;29.239400863647;866;FI
Lappeenranta Airport;lappeenranta;Finland;LPP;;61.044601;28.144743;349;FI
Mariehamn Airport;mariehamn;Finland;MHQ;;60.122200012207;19.898199081421;17;FI
Oulu Airport;oulu;Finland;OUL;;64.930099487305;25.354600906372;47;FI
Pori Airport;pori;Finland;POR;;61.461700439453;21.799999237061;44;FI
Rovaniemi Airport;rovaniemi;Finland;RVN;;66.564796447754;25.830400466919;642;FI
Savonlinna Airport;savonlinna;Finland;SVL;;61.943099975586;28.945100784302;311;FI
Tampere-Pirkkala Airport;tampere;Finland;TMP;;61.414100646973;23.604400634766;390;FI
Turku Airport;turku;Finland;TKU;;60.514099121094;22.262800216675;161;FI
Vaasa Airport;vaasa;Finland;VAA;;63.050701141357;21.762199401855;19;FI
Agen-La Garenne Airport;agen;France;AGF;;44.17470169067383;0.5905560255050659;204;FR
Albert-Bray Airport;albert;France;BYF;;49.9715003967;2.69765996933;364;FR
Angers-Loire Airport;angers marce;France;ANE;;47.560299;'-0.312222;194;FR
Annecy-Haute-Savoie-Mont Blanc Airport;annecy;France;NCY;;45.9308333;6.1063889;1521;FR
Aurillac Airport;aurillac;France;AUR;;44.89139938354492;2.4219400882720947;2096;FR
Avignon-Caumont Airport;avignon;France;AVN;;43.90729904174805;4.901830196380615;124;FR
Paris Beauvais Tillé Airport;beauvais;France;BVA;;49.45439910888672;2.1127800941467285;359;FR
Bergerac-Roumanière Airport;bergerac;France;EGC;;44.82529830932617;0.5186110138893127;171;FR
Béziers-Vias Airport;beziers;France;BZR;;43.32350158691406;3.3538999557495117;56;FR
Biarritz-Anglet-Bayonne Airport;biarritz bayonne;France;BIQ;;43.4683333;'-1.5311111;245;FR
Bordeaux-Mérignac Airport;bordeaux;France;BOD;;44.828300476100004;'-0.715556025505;162;FR
Bourges Airport;bourges;France;LBG;;47.058101654052734;2.3702800273895264;529;FR
Brest Bretagne Airport;brest;France;BES;;48.447898864746094;'-4.418540000915527;325;FR
Brive Souillac Airport;brive;France;BVE;;45.039722;1.485556;1016;FR
Caen-Carpiquet Airport;caen;France;CFR;;49.173301696777344;'-0.44999998807907104;256;FR
Carcassonne Airport;carcassonne;France;CCF;;43.215999603271484;2.3063199520111084;433;FR
Castres-Mazamet Airport;castres;France;DCM;;43.55630111694336;2.289180040359497;788;FR
Châlons-Vatry Airport;chalons;France;XCR;;48.7733333333;4.206111111;587;FR
Chambéry-Savoie Airport;chambery;France;CMF;;45.638099670410156;5.880229949951172;779;FR
"Châteauroux-Déols ""Marcel Dassault"" Airport";chateauroux;France;CHR;;46.860278;1.721111;529;FR
Clermont-Ferrand Auvergne Airport;clermont ferrand;France;CFE;;45.7867012024;3.1691699028;1090;FR
Dinard-Pleurtuit-Saint-Malo Airport;dinard;France;DNR;;48.58769989013672;'-2.0799601078033447;219;FR
Épinal-Mirecourt Airport;epinal;France;EPL;;48.325001;6.06998;1084;FR
Grenoble-Isère Airport;grenoble;France;GNB;;45.36289978027344;5.329370021820068;1302;FR
Toulon-Hyères Airport;hyeres;France;TLN;;43.0973014832;6.14602994919;7;FR
La Rochelle-Île de Ré Airport;la rochelle;France;LRH;;46.17919921875;'-1.1952799558639526;74;FR
Lannion-Côte de Granit Airport;lannion;France;LAI;;48.754398;'-3.47166;290;FR
Laval-Entrammes Airport;laval;France;LVA;;48.03139877319336;'-0.7429860234260559;330;FR
Le Havre Octeville Airport;le havre;France;LEH;;49.53390121459961;0.08805599808692932;313;FR
Le Mans-Arnage Airport;le mans;France;LME;;47.94860076904297;0.20166699588298798;194;FR
Le Puy-Loudes Airport;lepuy;France;LPY;;45.0806999206543;3.762890100479126;2731;FR
Lille-Lesquin Airport;lille;France;LIL;;50.563332;3.086886;157;FR
Limoges Airport;limoges;France;LIG;;45.86280059814453;1.1794400215148926;1300;FR
Lorient SouthFrance (Bretagne Sud) Airport;lorient;France;LRT;;47.76060104370117;'-3.440000057220459;160;FR
Lyon-Bron Airport;lyon;France;LYS;;45.72719955444336;4.944270133972168;659;FR
Marseille Provence Airport;marseille;France;MRS;;43.439271922;5.22142410278;74;FR
Metz-Nancy-Lorraine Airport;metz;France;ETZ;;48.9821014404;6.25131988525;870;FR
Montpellier-Méditerranée Airport;montpellier;France;MPL;;43.57619857788086;3.96301007270813;17;FR
EuroAirport Basel-Mulhouse-Freiburg Airport;mulhouse;Switzerland;MLH;;47.59;7.5291667;885;CH
Nantes Atlantique Airport;nantes;France;NTE;;47.153198242200006;'-1.61073005199;90;FR
Nice-Côte d'Azur Airport;nice;France;NCE;;43.6584014893;7.215869903560001;12;FR
Nîmes-Arles-Camargue Airport;nimes;France;FNI;;43.75740051269531;4.4163498878479;309;FR
Paris-Orly Airport;paris;France;PAR;;48.7233333;2.3794444;291;FR
Pau Pyrénées Airport;pau;France;PUF;;43.380001068115234;'-0.41861099004745483;616;FR
Périgueux-Bassillac Airport;perigueux;France;PGX;;45.19810104370117;0.815555989742279;328;FR
Perpignan-Rivesaltes (Llabanère) Airport;perpignan;France;PGF;;42.74039840698242;2.8706700801849365;144;FR
Poitiers-Biard Airport;poitiers;France;PIS;;46.58769989013672;0.30666598677635193;423;FR
Quimper-Cornouaille Airport;quimper;France;UIP;;47.974998474121094;'-4.167789936065674;297;FR
Rennes-Saint-Jacques Airport;rennes;France;RNS;;48.069499969499994;'-1.73478996754;124;FR
Rouen Airport;rouen;France;URO;;49.38420104980469;1.1748000383377075;512;FR
Saint-Nazaire-Montoir Airport;st nazaire;France;SNR;;47.3105556;'-2.1566667;13;FR
Saint-Étienne-Bouthéon Airport;st etienne;France;EBU;;45.54059982299805;4.296390056610107;1325;FR
Strasbourg Airport;strasbourg;France;SXB;;48.538299560546875;7.628230094909668;505;FR
Tarbes-Lourdes-Pyrénées Airport;tarbes;France;LDE;;43.1786994934082;'-0.006438999902456999;1260;FR
Toulouse-Blagnac Airport;toulouse;France;TLS;;43.629101;1.36382;499;FR
Tours-Val-de-Loire Airport;tours;France;TUF;;47.4322013855;0.727605998516;357;FR
Valence-Chabeuil Airport;valence;France;VAF;;44.9216;4.9699;525;FR
Batumi International Airport;batumi;Georgia;BUS;;41.6102981567;41.5997009277;105;GE
Kopitnari Airport;kutaisi;Georgia;KUT;;42.176700592;42.4826011658;223;GE
Tbilisi International Airport;tbilisi;Georgia;TBS;;41.6692008972;44.95470047;1624;GE
Augsburg Airport;augsburg;Germany;AGB;;48.425278;10.931667;1516;DE
Berlin-Tegel Airport;berlin;Germany;BER;;52.5597;13.2877;122;DE
Braunschweig-Wolfsburg Airport;braunschweig;Germany;BWE;;52.319199;10.5561;295;DE
Bremen Airport;bremen;Germany;BRE;;53.0475006104;8.78666973114;14;DE
Cologne Bonn Airport;cologne;Germany;CGN;;50.8658981323;7.1427397728;302;DE
Dortmund Airport;dortmund;Germany;DTM;;51.51829910279999;7.61223983765;425;DE
Dresden Airport;dresden;Germany;DRS;;51.1328010559082;13.767200469970703;755;DE
Düsseldorf Airport;duesseldorf;Germany;DUS;;51.289501;6.76678;147;DE
Erfurt Airport;erfurt;Germany;ERF;;50.979801177978516;10.958100318908691;1036;DE
Frankfurt am Main Airport;frankfurt;Germany;FRA;;50.033333;8.570556;364;DE
Friedrichshafen Airport;friedrichshafen;Germany;FDH;;47.671298980699994;9.51148986816;1367;DE
Frankfurt-Hahn Airport;hahn;Germany;HHN;;49.9487;7.26389;1649;DE
Hamburg-Finkenwerder Airport;hamburg;Germany;HAM;;53.5352783203125;9.835556030273438;23;DE
Hannover Airport;hannover;Germany;HAJ;;52.461101532;9.685079574580001;183;DE
Heringsdorf Airport;heringsdorf;Germany;HDF;;53.8787002563;14.152299881;93;DE
Karlsruhe Baden-Baden Airport;karlsruhe baden baden;Germany;FKB;;48.7793998718;8.08049964905;408;DE
Kassel-Calden Airport;kassel;Germany;KSF;;51.417273;9.384967;820;DE
Rostock-Laage Airport;laage;Germany;RLG;;53.9182014465;12.278300285299999;138;DE
Leipzig/Halle Airport;leipzig;Germany;LEJ;;51.423889;12.236389;465;DE
Lübeck Blankensee Airport;luebeck;Germany;LBC;;53.8054008484;10.7192001343;53;DE
Mannheim-City Airport;mannheim;Germany;MHG;;49.473057;8.514167;308;DE
Memmingen Allgau Airport;memmingen;Germany;FMM;;47.988800048799995;10.2395000458;2077;DE
Munich Airport;munich;Germany;MUC;;48.353802;11.7861;1487;DE
Münster Osnabrück Airport;munster;Germany;FMO;;52.134601593;7.68483018875;160;DE
Nuremberg Airport;nuernberg;Germany;NUE;;49.498699;11.078056;1046;DE
