Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Nom_Image_Locale,Trip_URL,Mois
"Crazy Kiz Spring Edition - Italy 4.0","10 Apr","12 Apr","Milan, Italy","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b603","https://www.facebook.com/events/1848449342665305/","crazy_kiz_spring_edition___italy_4_0_23.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1004MXP11%3Fdestination_airports%3D0&campaign_id=100","April"
"KIZOMBA BARCELONA CONGRESS 2026","10 Apr","13 Apr","BARCELONA , Spain","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b5ff","https://www.facebook.com/events/1130441508851669/","kizomba_barcelona_congress_2026_26.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1004BCN11%3Fdestination_airports%3D0&campaign_id=100","April"
"Elsol Bachata Festival 2026","10 Apr","22 Apr","Warsaw, Poland","https://placetodance.com/festivals/calendar/688629e24a97ca6427ee4b3a","https://www.facebook.com/events/1202018491633515/","elsol_bachata_festival_2026_28.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1004WAW11%3Fdestination_airports%3D0&campaign_id=100","April"
"Mambo Duketowm Salsa & Bachata Festival 2026","10 Apr","12 Apr","Manchester, United Kingdom","https://placetodance.com/festivals/calendar/6925f18206f86dbdbfab25aa","https://www.facebook.com/events/1840349839901473/","mambo_duketowm_salsa___bachata_festival_2026_29.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1004MAN11%3Fdestination_airports%3D0&campaign_id=100","April"
"Inside Festival 2026","16 Apr","20 Apr","Bordeaux, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b600","https://www.facebook.com/events/1817959098985593/","inside_festival_2026_30.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1604BOD11%3Fdestination_airports%3D0&campaign_id=100","April"
"CKC – Crystal Kizomba Congress Vienna 2026","16 Apr","20 Apr","Vienna, Austria","https://placetodance.com/festivals/calendar/68e81f0f6eb94a22fac26915","https://www.facebook.com/events/766742382918080/","ckc___crystal_kizomba_congress_vienna_2026_31.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1604VIE11%3Fdestination_airports%3D0&campaign_id=100","April"
"Bachata Greece Festival","17 Apr","19 Apr","Athens, Greece","https://placetodance.com/festivals/calendar/68fd2268e9c5d223fe32c91f","https://www.facebook.com/events/1049143216544518/","bachata_greece_festival_33.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1704ATH11%3Fdestination_airports%3D0&campaign_id=100","April"
"Project X Bachata Festival Riga 2026","17 Apr","19 Apr","Rīga, Lithuania","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bafb","https://www.facebook.com/events/942383184706848/","project_x_bachata_festival_riga_2026_35.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1704RIX11%3Fdestination_airports%3D0&campaign_id=100","April"
"Luxembourg International Kizomba Festival Around the World","23 Apr","27 Apr","Luxembourg, Luxembourg","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b619","https://www.facebook.com/events/30522987623967216/","luxembourg_international_kizomba_festival_around_the_world_39.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2304LUX11%3Fdestination_airports%3D0&campaign_id=100","April"
"Timbalemania 2026","24 Apr","27 Apr","Augsburg, Germany","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8f6","https://www.facebook.com/events/2338855759886997/","timbalemania_2026_41.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2404AGB11%3Fdestination_airports%3D0&campaign_id=100","April"
"Bachata Familyon International festival","24 Apr","26 Apr","Lyon, France","https://placetodance.com/festivals/calendar/689a3df147951c2e5078ec09","https://www.facebook.com/events/1240468907206053/","bachata_familyon_international_festival_44.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2404LYS11%3Fdestination_airports%3D0&campaign_id=100","April"
"FEELING KIZOMBA FESTIVAL 2026 - Ven con Elsa y Sergi","28 Apr","3 May","Barcelona, Spain","https://placetodance.com/festivals/calendar/6884c1558dbff31b59015587","https://www.facebook.com/events/1209151150756988","feeling_kizomba_festival_2026___ven_con_elsa_y_sergi_45.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2804BCN11%3Fdestination_airports%3D0&campaign_id=100","April"
"BACHATAZO BEACH FESTIVAL 2026 (Evento Oficial)","14 Aug","17 Aug","Valencia, Spain","https://placetodance.com/festivals/calendar/6925f18506f86dbdbfab2604","https://www.facebook.com/events/610090224682297/","bachatazo_beach_festival_2026__evento_oficial__9.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1408VLC11%3Fdestination_airports%3D0&campaign_id=100","August"
"Roma Sensual Symposium – 9th Edition","20 Aug","25 Aug","Rome, Italy","https://placetodance.com/festivals/calendar/68f680a0cfd1f800ad2ef4e1","https://www.facebook.com/events/2009695786104317","roma_sensual_symposium___9th_edition_11.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2008FCO11%3Fdestination_airports%3D0&campaign_id=100","August"
"The Battle Kizz Festival - World-Final 2026","21 Aug","24 Aug","Paris, France","https://placetodance.com/festivals/calendar/68f68970cfd1f800ad2ef513","https://www.facebook.com/events/1769268763699137/","the_battle_kizz_festival___world_final_2026_15.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2108ORY11%3Fdestination_airports%3D0&campaign_id=100","August"
"Bachata Suave Experience","21 Aug","23 Aug","Marseille, France","https://placetodance.com/festivals/calendar/6925cb9a06f86dbdbfab24d8","https://www.facebook.com/events/747833341465649/","bachata_suave_experience_16.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2108MRS11%3Fdestination_airports%3D0&campaign_id=100","August"
"Vilnius Bachata Fest 10th Anniversary","27 Aug","31 Aug","Vilnius, Lithuania","https://placetodance.com/festivals/calendar/6925cb9a06f86dbdbfab24c6","https://www.facebook.com/events/701713102933284/","vilnius_bachata_fest_10th_anniversary_17.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2708VNO11%3Fdestination_airports%3D0&campaign_id=100","August"
"La Criolla Bachata Festival 2026","28 Aug","30 Aug","Madrid, Spain","https://placetodance.com/festivals/calendar/6925f18306f86dbdbfab25ce","https://www.facebook.com/events/24721387987474113/","la_criolla_bachata_festival_2026_18.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2808MAD11%3Fdestination_airports%3D0&campaign_id=100","August"
"KizzTime – 28–30 Aug 2026 (Warsaw) – Save the Date","28 Aug","31 Aug","Warsaw, Poland","https://placetodance.com/festivals/calendar/68f680a0cfd1f800ad2ef4f3","https://www.facebook.com/events/761918136539950","kizztime___28_30_aug_2026__warsaw____save_the_date_19.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2808WAW11%3Fdestination_airports%3D0&campaign_id=100","August"
"8times 2gether Urbankiz Weekender Stuttgart 2026 – Official Event","29 Aug","31 Aug","Stuttgart, Germany","https://placetodance.com/festivals/calendar/68f680a0cfd1f800ad2ef4e7","https://www.facebook.com/events/4194351410784449","8times_2gether_urbankiz_weekender_stuttgart_2026___official_event_20.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2908STR11%3Fdestination_airports%3D0&campaign_id=100","August"
"HOT ICE KIZ Festival 2026 11th edition","26 Nov","1 Dec","Riga, Latvia","N/A","Non trouvé","hot_ice_kiz_festival_2026_11th_edition_0.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2611RIX11%3Fdestination_airports%3D0&campaign_id=100","December"
"BAILANDO SENSUAL FESTIVAL 2026 ( 5-9th February 2026 )","5 Feb","9 Feb","Krakow, Poland","https://placetodance.com/festivals/calendar/6925f18306f86dbdbfab25c8","https://www.facebook.com/events/2211239472620731/","bailando_sensual_festival_2026___5_9th_february_2026___0.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0502KRK11%3Fdestination_airports%3D0&campaign_id=100","February"
"Bachata Gala Helsinki Festival 2026","5 Feb","9 Feb","Helsinki, Finland","https://placetodance.com/festivals/calendar/689a3df147951c2e5078ec0f","https://www.facebook.com/events/1395500678374674/","bachata_gala_helsinki_festival_2026_1.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0502HEL11%3Fdestination_airports%3D0&campaign_id=100","February"
"Bachata Edition Festival","5 Feb","9 Feb","Toulouse, France","https://placetodance.com/festivals/calendar/689a283247951c2e5078ebc5","https://www.facebook.com/events/1049348974033795/","bachata_edition_festival_3.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0502TLS11%3Fdestination_airports%3D0&campaign_id=100","February"
"PRAGUE KWANZA FESTIVAL 2026 – Official 8th Edition","5 Feb","9 Feb","Prague, Czech Republic","https://placetodance.com/festivals/calendar/68e80f556eb94a22fac268e0","https://www.facebook.com/events/958645879237331/","prague_kwanza_festival_2026___official_8th_edition_4.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0502PRG11%3Fdestination_airports%3D0&campaign_id=100","February"
"Alegria Bachata Festival Bordeaux edition 5","5 Feb","8 Feb","Paris, France","https://placetodance.com/festivals/calendar/6925cb9506f86dbdbfab2418","https://www.facebook.com/events/1362887295537835/","alegria_bachata_festival_bordeaux_edition_5_5.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0502ORY11%3Fdestination_airports%3D0&campaign_id=100","February"
"Lento Dance Festival 2026 – Winter Edition ❄️","6 Feb","9 Feb","Vienna, Austria","https://placetodance.com/festivals/calendar/68fd1218e9c5d223fe32c8a7","https://www.facebook.com/events/3185998374897703/","lento_dance_festival_2026___winter_edition____7.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0602VIE11%3Fdestination_airports%3D0&campaign_id=100","February"
"Luxembourg Bachata Family Festival 2026","6 Feb","8 Feb","Luxembourg, Luxembourg","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bb07","https://www.facebook.com/events/615171654486729/","luxembourg_bachata_family_festival_2026_9.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0602LUX11%3Fdestination_airports%3D0&campaign_id=100","February"
"Brest Bachata Festival 3","6 Feb","9 Feb","Brest, France","https://placetodance.com/festivals/calendar/6925cb9706f86dbdbfab2454","https://www.facebook.com/events/2118110322051172/","brest_bachata_festival_3_10.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0602BES11%3Fdestination_airports%3D0&campaign_id=100","February"
"Ritmo de Bachata Festival 2nd Anniversary | 68 Feb 2026 | Birmingham","6 Feb","8 Feb","Birmingham, United Kingdom","https://placetodance.com/festivals/calendar/6925f18106f86dbdbfab255c","https://www.facebook.com/events/1091213696312077/","ritmo_de_bachata_festival_2nd_anniversary___68_feb_2026___birmingham_11.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0602BHX11%3Fdestination_airports%3D0&campaign_id=100","February"
"BachaKizz Sensation  All in one Bachata & Kizomba","12 Feb","16 Feb","Stuttgart, Germany","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bafe","https://www.facebook.com/events/669184702204783/","bachakizz_sensation__all_in_one_bachata___kizomba_15.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1202STR11%3Fdestination_airports%3D0&campaign_id=100","February"
"Mallorca Latin Paradise 2026 - Ven con BailaBarcelona","13 Feb","15 Feb","Barcelona, Spain","https://placetodance.com/festivals/calendar/6925f18606f86dbdbfab262e","https://www.facebook.com/events/779829358081331/","mallorca_latin_paradise_2026___ven_con_bailabarcelona_17.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302BCN11%3Fdestination_airports%3D0&campaign_id=100","February"
"Bachata Amor Valentine’s Festival 2026","13 Feb","16 Feb","Brussels, Belgium","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bb09","https://www.facebook.com/events/1386077089066693/","bachata_amor_valentine_s_festival_2026_18.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302BRU11%3Fdestination_airports%3D0&campaign_id=100","February"
"SENSUAL BACHATA FESTIVAL - 3rd EDITION","13 Feb","16 Feb","Bucharest, Romania","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bab1","https://www.facebook.com/events/2384890758530706/","sensual_bachata_festival___3rd_edition_19.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302OTP11%3Fdestination_airports%3D0&campaign_id=100","February"
"Kizatours dances festival edition afro legacy","13 Feb","15 Feb","Tours, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b693","https://www.facebook.com/events/1669984580259811/","kizatours_dances_festival_edition_afro_legacy_20.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302TUF11%3Fdestination_airports%3D0&campaign_id=100","February"
"Lille Salsa Festival 2","13 Feb","16 Feb","Lille, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bac0","https://www.facebook.com/events/1145234520705264/","lille_salsa_festival_2_22.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302LIL11%3Fdestination_airports%3D0&campaign_id=100","February"
"NANTES SALSA, BACHATA & KIZOMBA FESTIVAL","13 Feb","16 Feb","Nantes, France","https://placetodance.com/festivals/calendar/68e7b3dd6eb94a22fac26800","https://www.facebook.com/events/747135498314093/","nantes_salsa__bachata___kizomba_festival_23.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302NTE11%3Fdestination_airports%3D0&campaign_id=100","February"
"Magic Winter 2026 Vigo","14 Feb","16 Feb","Vigo, Spain","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac2685d","https://www.facebook.com/events/1099805625131175/","magic_winter_2026_vigo_24.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1402VGO11%3Fdestination_airports%3D0&campaign_id=100","February"
"Bachata Sphere Festival","19 Feb","23 Feb","Paris, France","https://placetodance.com/festivals/calendar/689a3df247951c2e5078ec30","https://www.facebook.com/events/708644831559877/","bachata_sphere_festival_28.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1902ORY11%3Fdestination_airports%3D0&campaign_id=100","February"
"Alegria Festival Bordeaux 5","19 Feb","23 Feb","Bordeaux, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b676","https://www.facebook.com/events/652078487361267/","alegria_festival_bordeaux_5_30.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1902BOD11%3Fdestination_airports%3D0&campaign_id=100","February"
"All Stars Budapest Bachata Festival 2026","20 Feb","23 Feb","Budapest, Hungary","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bb0a","https://www.facebook.com/events/1362025638162201/","all_stars_budapest_bachata_festival_2026_32.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2002BUD11%3Fdestination_airports%3D0&campaign_id=100","February"
"Festival de salsa d Amsterdam 2026","20 Feb","22 Feb","Amsterdam, Netherlands","https://placetodance.com/festivals/calendar/6925cb9606f86dbdbfab2424","https://www.facebook.com/events/1452711012546675/","festival_de_salsa_d_amsterdam_2026_35.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2002AMS11%3Fdestination_airports%3D0&campaign_id=100","February"
"The Biggest bachata festival in Scandinavia","20 Feb","22 Feb","Malmö, Sweden","https://placetodance.com/festivals/calendar/68779f2db9da100c7000baf2","https://www.facebook.com/events/1026383212839822/","the_biggest_bachata_festival_in_scandinavia_36.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2002MMA11%3Fdestination_airports%3D0&campaign_id=100","February"
"Bailame Salsa Festival 3","20 Feb","22 Feb","Paris, Cuba","https://placetodance.com/festivals/calendar/6925cb9b06f86dbdbfab24f0","https://www.facebook.com/events/981503534132109/","bailame_salsa_festival_3_37.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2002ORY11%3Fdestination_airports%3D0&campaign_id=100","February"
"FREEDOM ROMANTIC FESTIVAL 9ème EDITION","20 Feb","23 Feb","Rennes, France","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac2687a","https://www.facebook.com/events/656495683568934/","freedom_romantic_festival_9_me_edition_38.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2002RNS11%3Fdestination_airports%3D0&campaign_id=100","February"
"Dinastia World Dance Congress 2026","26 Feb","2 Mar","Vilnius, Lithuania","https://placetodance.com/festivals/calendar/688629e24a97ca6427ee4b1c","https://www.facebook.com/events/1053898349908710/","dinastia_world_dance_congress_2026_44.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2602VNO11%3Fdestination_airports%3D0&campaign_id=100","February"
"KizNover – Urban Kizomba Connection Weekend Hannover 2026","27 Feb","1 Mar","Hannover, Germany","https://placetodance.com/festivals/calendar/68e81f0f6eb94a22fac2691b","https://www.facebook.com/events/991236286222320/","kiznover___urban_kizomba_connection_weekend_hannover_2026_46.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702HAJ11%3Fdestination_airports%3D0&campaign_id=100","February"
"Baila Conmigo Congress Latino 2026","27 Feb","1 Mar","Split, Croatia","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac26892","https://www.facebook.com/events/976777167965822/","baila_conmigo_congress_latino_2026_49.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702SPU11%3Fdestination_airports%3D0&campaign_id=100","February"
"Oltenia Salsa Fest a 8-a editie","27 Feb","2 Mar","Craiova, Romania","https://placetodance.com/festivals/calendar/6925cb9906f86dbdbfab24a2","https://www.facebook.com/events/657196557227738/","oltenia_salsa_fest_a_8_a_editie_50.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702CRA11%3Fdestination_airports%3D0&campaign_id=100","February"
"Eme Kia Festival","27 Feb","2 Mar","Lisbon, Portugal","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac2687d","https://www.facebook.com/events/690548050082278/","eme_kia_festival_54.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702LIS11%3Fdestination_airports%3D0&campaign_id=100","February"
"Level'UP BACHATA festival LYON 2026","27 Feb","2 Mar","Lyon, France","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8e7","https://www.facebook.com/events/1931276107674743/","level_up_bachata_festival_lyon_2026_56.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702LYS11%3Fdestination_airports%3D0&campaign_id=100","February"
"DADAM Poznań Kizomba Festival 2026","27 Feb","1 Mar","Poznań, Poland","https://placetodance.com/festivals/calendar/68f68970cfd1f800ad2ef519","https://www.facebook.com/events/2208810286241867/","dadam_pozna__kizomba_festival_2026_57.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702POZ11%3Fdestination_airports%3D0&campaign_id=100","February"
"5th Kizzaffaire Official Event","9 Jan","12 Jan","Warsaw, Poland","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b61f","https://www.facebook.com/events/1691488048418511/","5th_kizzaffaire_official_event_6.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0901WAW11%3Fdestination_airports%3D0&campaign_id=100","January"
"Dominican Swag Festival 2026","9 Jan","11 Jan","Amsterdam, Netherlands","https://placetodance.com/festivals/calendar/68779f2db9da100c7000baba","https://www.facebook.com/events/649075307691523/","dominican_swag_festival_2026_7.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0901AMS11%3Fdestination_airports%3D0&campaign_id=100","January"
"YEKRIK KIZOMBA DAYS 2026 | Marathon Edition","9 Jan","11 Jan","Barcelona, Spain","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b61e","https://www.facebook.com/events/563654426435649/","yekrik_kizomba_days_2026___marathon_edition_9.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0901BCN11%3Fdestination_airports%3D0&campaign_id=100","January"
